Date,Open,High,Low,Close,Volume,Change
2020-08-18,20000,22000,20000,22000,262,
2020-08-19,25250,25250,25250,25250,1,0.1477272727272727
2020-08-20,21500,29000,21500,29000,13,0.14851485148514842
2020-08-21,25000,25000,24650,24650,446,-0.15000000000000002
2020-08-24,22000,22000,22000,22000,65,-0.10750507099391482
2020-08-25,22000,22000,22000,22000,0,0.0
2020-08-26,25300,25300,25300,25300,1,0.1499999999999999
2020-08-27,29000,29000,29000,29000,10,0.1462450592885376
2020-08-28,28950,28950,28950,28950,1,-0.0017241379310344307
2020-08-31,32950,32950,32950,32950,1,0.13816925734024177
2020-09-01,32000,32000,32000,32000,1,-0.028831562974203306
2020-09-02,32000,32000,32000,32000,1,0.0
2020-09-03,36800,36800,27200,27200,4,-0.15000000000000002
2020-09-04,31250,31250,31200,31200,2,0.1470588235294117
2020-09-07,31200,31200,26550,26550,14,-0.14903846153846156
2020-09-08,23000,23100,23000,23000,22,-0.13370998116760824
2020-09-09,20000,26450,20000,26450,21,0.1499999999999999
2020-09-10,25850,25850,25850,25850,100,-0.022684310018903586
2020-09-11,29700,29700,29700,29700,1,0.14893617021276606
2020-09-14,29700,29700,28950,28950,200,-0.025252525252525304
2020-09-15,28250,28250,28250,28250,100,-0.024179620034542326
2020-09-16,27550,27550,27550,27550,100,-0.024778761061946875
2020-09-17,26900,26900,26900,26900,100,-0.023593466424682408
2020-09-18,26300,26300,26300,26300,100,-0.022304832713754608
2020-09-21,25750,25750,25750,25750,100,-0.020912547528517123
2020-09-22,25200,25200,25200,25200,100,-0.021359223300970842
2020-09-23,24700,24700,24700,24700,100,-0.019841269841269882
2020-09-24,24200,24200,24200,24200,100,-0.020242914979757054
2020-09-25,23750,23750,23750,23750,101,-0.018595041322314043
2020-09-28,20800,20800,20800,20800,1,-0.12421052631578944
2020-09-29,20550,20550,20550,20550,100,-0.012019230769230727
2020-10-05,17600,18000,17600,18000,52,-0.12408759124087587
2020-10-06,18000,18500,17500,18500,201,0.02777777777777768
2020-10-07,18000,19000,17600,19000,201,0.027027027027026973
2020-10-08,18500,19500,17500,19500,202,0.026315789473684292
2020-10-12,18500,18500,18500,18500,100,-0.05128205128205132
2020-10-13,18000,18000,15750,15800,136,-0.1459459459459459
2020-10-14,15400,15400,13600,13600,102,-0.1392405063291139
2020-10-15,11700,11700,11700,11700,10,-0.13970588235294112
2020-10-16,9990,9990,9990,9990,1,-0.1461538461538462
2020-10-19,11450,11450,8500,8500,21,-0.14914914914914912
2020-10-20,8600,8600,8600,8600,117,0.0117647058823529
2020-10-21,9850,9890,9850,9890,5,0.1499999999999999
2020-10-22,11350,11350,9900,9900,2,0.0010111223458038054
2020-10-23,10550,11350,9970,9970,102,0.007070707070707005
2020-10-26,11450,11450,10000,10000,2,0.0030090270812437314
2020-10-27,10500,10500,10050,10050,101,0.004999999999999893
2020-10-28,10550,11550,10150,10150,102,0.00995024875621886
2020-10-29,10650,10650,10650,10650,100,0.049261083743842304
2020-10-30,11150,11150,11150,11150,100,0.04694835680751175
2020-11-02,11650,12750,11650,12750,101,0.1434977578475336
2020-11-03,13900,13900,13900,13900,11,0.09019607843137245
2020-11-04,13900,13900,11900,11900,319,-0.14388489208633093
2020-11-05,12400,13600,12400,13600,101,0.1428571428571428
2020-11-06,15600,15600,15600,15600,1,0.1470588235294117
2020-11-09,15200,16100,15200,16100,101,0.03205128205128216
2020-11-10,18500,18500,15000,15000,6,-0.06832298136645965
2020-11-11,17200,17200,17200,17200,1,0.14666666666666672
2020-11-12,16700,16700,16700,16700,100,-0.029069767441860517
2020-11-13,16250,16250,14250,14250,101,-0.1467065868263473
2020-11-16,14250,16350,14250,14250,44,0.0
2020-11-17,14750,16350,13900,13900,304,-0.024561403508771895
