Date,Open,High,Low,Close,Volume,Change
2020-10-23,3295,3785,3000,3780,92661,
2020-10-26,4000,4345,3680,4345,52936,0.14947089947089953
2020-10-27,4450,4995,4200,4995,40340,0.14959723820483317
2020-10-28,5000,5740,5000,5740,37632,0.14914914914914923
2020-10-29,6490,6600,5700,6550,31343,0.14111498257839727
2020-10-30,6900,6900,5670,5700,5586,-0.1297709923664122
2020-11-02,6100,6450,5700,6400,8514,0.12280701754385959
2020-11-03,6400,6600,5560,6240,17642,-0.025000000000000022
2020-11-04,6200,6200,5550,6100,3648,-0.022435897435897467
2020-11-05,6100,6150,5190,5190,3567,-0.1491803278688525
2020-11-06,4420,5800,4420,5300,27276,0.021194605009633882
2020-11-09,4560,5290,4510,5290,15813,-0.0018867924528301883
2020-11-10,4535,4600,4500,4500,5278,-0.1493383742911153
2020-11-11,3825,4095,3825,3990,7999,-0.11333333333333329
2020-11-12,3395,3395,3395,3395,4631,-0.14912280701754388
2020-11-13,2890,3290,2890,3290,13138,-0.030927835051546393
2020-11-16,3290,3780,3290,3780,20030,0.14893617021276606
2020-11-17,3990,4195,3215,3220,24852,-0.14814814814814814
2020-11-18,3300,3510,3270,3390,14,0.052795031055900665
2020-11-19,3500,3500,2885,2885,28603,-0.14896755162241893
2020-11-20,2885,3075,2710,3020,200,0.04679376083188913
2020-11-23,3020,3190,2665,3180,815,0.052980132450331174
2020-11-24,3130,3130,2805,3025,1258,-0.04874213836477992
2020-11-25,3300,3350,2575,2690,37904,-0.11074380165289255
2020-11-26,2890,2890,2375,2500,4846,-0.07063197026022305
2020-11-27,2500,2500,2365,2375,9679,-0.050000000000000044
2020-11-30,2375,2585,2370,2585,15918,0.08842105263157896
2020-12-01,2455,2455,2370,2380,3422,-0.07930367504835589
2020-12-02,2380,2380,2310,2380,1044,0.0
2020-12-03,2300,2300,2025,2245,27251,-0.05672268907563027
2020-12-04,2180,2180,2000,2135,1969,-0.04899777282850781
2020-12-07,2435,2435,2000,2345,5592,0.09836065573770503
2020-12-08,2280,2280,2000,2190,13106,-0.06609808102345416
2020-12-09,2110,2110,2000,2070,4468,-0.0547945205479452
2020-12-10,2160,2160,2000,2090,1338,0.009661835748792313
2020-12-11,2000,2050,1900,2000,6167,-0.0430622009569378
2020-12-14,2000,2070,1900,2070,8266,0.03499999999999992
2020-12-15,2290,2290,1900,1990,8086,-0.03864734299516903
2020-12-16,1800,1900,1775,1895,2647,-0.047738693467336724
2020-12-17,1850,1850,1800,1800,1135,-0.05013192612137207
2020-12-18,1760,1760,1655,1710,980,-0.050000000000000044
2020-12-21,1900,1920,1620,1920,3717,0.12280701754385959
2020-12-22,1840,1840,1635,1730,10261,-0.09895833333333337
2020-12-23,1650,1750,1640,1640,5354,-0.052023121387283267
2020-12-24,1560,1725,1540,1565,4926,-0.04573170731707321
2020-12-28,1550,1700,1450,1650,19737,0.054313099041533475
2020-12-29,1700,1895,1600,1895,6200,0.14848484848484844
2020-12-30,2000,2175,2000,2175,2334,0.14775725593667555
2021-01-04,2295,2500,2200,2500,4388,0.14942528735632177
2021-01-05,2700,2790,2600,2790,8691,0.1160000000000001
2021-01-06,2790,3195,2790,3190,2483,0.14336917562724016
2021-01-07,3180,3385,2715,3215,40931,0.00783699059561127
2021-01-08,3215,3215,2735,2975,14761,-0.0746500777604977
2021-01-11,2975,2975,2920,2975,1418,0.0
2021-01-12,2975,2975,2600,2900,330,-0.025210084033613467
2021-01-13,2500,2900,2465,2775,4939,-0.0431034482758621
2021-01-14,2695,2790,2420,2790,1277,0.00540540540540535
2021-01-15,2790,2790,2785,2785,82,-0.0017921146953404632
2021-01-18,2780,2780,2780,2780,7,-0.0017953321364452268
2021-01-19,2500,3185,2450,3185,5285,0.14568345323741005
2021-01-20,3000,3000,2710,2995,2328,-0.05965463108320246
2021-01-21,2605,2995,2550,2995,13940,0.0
2021-01-22,3430,3430,2995,3245,1018,0.08347245409015036
2021-01-25,3495,3495,2760,3050,5141,-0.06009244992295837
2021-01-26,2995,2995,2595,2595,13677,-0.1491803278688525
2021-01-27,2400,2880,2400,2595,524,0.0
2021-01-28,2890,2890,2685,2685,153,0.034682080924855585
2021-01-29,2650,2650,2400,2640,2385,-0.016759776536312887
2021-02-01,2600,2900,2600,2800,385,0.06060606060606055
2021-02-02,2795,2795,2500,2730,1016,-0.025000000000000022
2021-02-03,2890,2890,2520,2700,4386,-0.01098901098901095
2021-02-04,2685,2990,2685,2945,2255,0.09074074074074079
2021-02-05,2950,3100,2505,2590,22905,-0.12054329371816641
2021-02-08,2695,2695,2330,2595,455,0.0019305019305020377
2021-02-09,2875,2875,2875,2875,1,0.10789980732177273
2021-02-10,3070,3070,2445,2565,7829,-0.10782608695652174
2021-02-15,2650,2650,2310,2490,9988,-0.0292397660818714
