Date,Open,High,Low,Close,Volume,Change
2015-10-21,6300,6300,6300,6300,0,
2015-10-22,6300,6300,6300,6300,0,0.0
2015-10-23,6300,6300,6300,6300,0,0.0
2015-10-26,6300,6300,6300,6300,0,0.0
2015-10-27,6310,6310,6310,6310,0,0.0015873015873015817
2015-10-28,6310,6310,6310,6310,0,0.0
2015-10-29,6310,6310,6310,6310,0,0.0
2015-10-30,6310,6310,6310,6310,0,0.0
2015-11-02,6310,6310,6310,6310,0,0.0
2015-11-03,6310,6310,6310,6310,0,0.0
2015-11-04,6310,6310,6310,6310,0,0.0
2015-11-05,6310,6310,6310,6310,0,0.0
2015-11-06,6310,6310,6310,6310,0,0.0
2015-11-09,6310,6310,6310,6310,0,0.0
2015-11-10,6310,6310,6310,6310,0,0.0
2015-11-11,6310,6310,6310,6310,0,0.0
2015-11-12,7000,7000,7000,7000,500,0.10935023771790808
2015-11-13,7000,7000,7000,7000,500,0.0
2015-11-16,7000,7000,7000,7000,0,0.0
2015-11-17,7000,7000,7000,7000,0,0.0
2015-11-18,7000,7000,7000,7000,0,0.0
2015-11-19,7000,7000,7000,7000,0,0.0
2015-11-20,7000,7000,7000,7000,0,0.0
2015-11-23,7000,7000,7000,7000,0,0.0
2015-11-24,7000,7000,7000,7000,0,0.0
2015-11-25,7000,7000,7000,7000,0,0.0
2015-11-26,7000,7000,7000,7000,0,0.0
2015-11-27,7000,7000,7000,7000,0,0.0
2015-11-30,7000,7000,7000,7000,0,0.0
2015-12-01,7000,7000,7000,7000,0,0.0
2015-12-02,7000,7000,7000,7000,0,0.0
2015-12-03,7000,7000,7000,7000,0,0.0
2015-12-04,7000,7000,7000,7000,0,0.0
2015-12-07,7000,7000,7000,7000,0,0.0
2015-12-08,7000,7000,7000,7000,0,0.0
2015-12-09,7000,7000,7000,7000,0,0.0
2015-12-10,7000,7050,7000,7000,1250,0.0
2015-12-11,7000,7000,7000,7000,0,0.0
2015-12-14,7000,7000,7000,7000,0,0.0
2015-12-15,7000,7000,7000,7000,0,0.0
2015-12-16,7100,7100,5950,5950,2,-0.15000000000000002
2015-12-17,5950,5950,5950,5950,0,0.0
2015-12-18,6840,6840,6840,6840,500,0.14957983193277302
2015-12-21,7100,7100,7100,7100,7000,0.03801169590643272
2015-12-22,7100,7300,7100,7300,5130,0.028169014084507005
2015-12-23,7500,7500,7500,7500,2500,0.027397260273972712
2015-12-24,7300,7500,7100,7300,11469,-0.026666666666666616
2015-12-28,7300,7400,7300,7400,1900,0.013698630136986356
2015-12-29,7400,7450,7400,7400,6000,0.0
2015-12-30,7400,7400,7400,7400,524,0.0
2016-01-04,7300,7450,7300,7450,3000,0.006756756756756799
2016-01-05,7450,7450,7450,7450,0,0.0
2016-01-06,7300,7300,7300,7300,0,-0.020134228187919434
2016-01-07,7300,7300,7300,7300,0,0.0
2016-01-08,7300,7300,7300,7300,0,0.0
2016-01-11,7300,7300,7300,7300,0,0.0
2016-01-12,7300,7300,7300,7300,0,0.0
2016-01-13,7300,7300,7300,7300,0,0.0
2016-01-14,7300,7300,7300,7300,0,0.0
2016-01-15,7300,7300,7300,7300,0,0.0
2016-01-18,7300,7300,7300,7300,0,0.0
2016-01-19,7300,7300,7300,7300,0,0.0
2016-01-20,7300,7300,7300,7300,0,0.0
2016-01-21,7300,7300,7300,7300,0,0.0
2016-01-22,7300,7300,7300,7300,0,0.0
2016-01-25,7300,7300,7300,7300,0,0.0
2016-01-26,7300,7300,7300,7300,0,0.0
2016-01-27,7300,7300,7300,7300,0,0.0
2016-01-28,7300,7300,7300,7300,0,0.0
2016-01-29,7300,7300,7300,7300,0,0.0
2016-02-01,7300,7300,7300,7300,0,0.0
2016-02-02,7300,7300,7300,7300,0,0.0
2016-02-03,7300,7300,7300,7300,0,0.0
2016-02-04,7300,7300,7300,7300,0,0.0
2016-02-05,7000,7000,7000,7000,200,-0.04109589041095896
2016-02-11,7000,7000,7000,7000,0,0.0
2016-02-12,7000,7000,7000,7000,0,0.0
2016-02-15,7000,7000,7000,7000,0,0.0
2016-02-16,7000,7000,7000,7000,0,0.0
2016-02-17,7000,7000,7000,7000,0,0.0
2016-02-18,7000,7000,7000,7000,0,0.0
2016-02-19,7000,7000,7000,7000,0,0.0
2016-02-22,7000,7000,7000,7000,0,0.0
2016-02-23,7100,7100,7100,7100,100,0.014285714285714235
2016-02-24,7100,7100,7100,7100,0,0.0
2016-02-25,7100,7100,7100,7100,0,0.0
2016-02-26,7100,7100,7100,7100,0,0.0
2016-02-29,7100,7100,7100,7100,0,0.0
2016-03-02,7100,7100,7100,7100,0,0.0
2016-03-03,7100,7100,7100,7100,0,0.0
2016-03-04,7100,7100,7100,7100,0,0.0
2016-03-07,7100,7100,7100,7100,0,0.0
2016-03-08,7100,7100,7100,7100,0,0.0
2016-03-09,7100,7100,7100,7100,0,0.0
2016-03-10,7100,7100,7100,7100,0,0.0
2016-03-11,7100,7100,7100,7100,0,0.0
2016-03-14,7200,7200,7200,7200,34850,0.014084507042253502
2016-03-15,7200,7200,7200,7200,0,0.0
2016-03-16,7200,7200,7200,7200,0,0.0
2016-03-17,7200,7200,7200,7200,0,0.0
2016-03-18,7200,7200,7200,7200,0,0.0
2016-03-21,7200,7200,7200,7200,0,0.0
2016-03-22,7200,7200,7200,7200,0,0.0
2016-03-23,7200,7200,7200,7200,0,0.0
2016-03-24,7200,7200,7200,7200,0,0.0
2016-03-25,7200,7200,7200,7200,0,0.0
2016-03-28,7200,7200,7200,7200,0,0.0
2016-03-29,7400,7400,7400,7400,200,0.02777777777777768
2016-03-30,7400,7400,7400,7400,0,0.0
2016-03-31,7400,7400,7400,7400,100,0.0
2016-04-01,7400,7400,7400,7400,0,0.0
